dataset,seed,layer,probe_accuracy
mnist,42,1,0.8625
mnist,42,2,0.9025
mnist,42,3,0.905
mnist,42,4,0.91
mnist,123,1,0.8725
mnist,123,2,0.9075
mnist,123,3,0.905
mnist,123,4,0.9125
mnist,456,1,0.895
mnist,456,2,0.905
mnist,456,3,0.915
mnist,456,4,0.91
fashion_mnist,42,1,0.8275
fashion_mnist,42,2,0.8325
fashion_mnist,42,3,0.8525
fashion_mnist,42,4,0.8425
fashion_mnist,123,1,0.835
fashion_mnist,123,2,0.8425
fashion_mnist,123,3,0.845
fashion_mnist,123,4,0.8425
fashion_mnist,456,1,0.83
fashion_mnist,456,2,0.8175
fashion_mnist,456,3,0.8375
fashion_mnist,456,4,0.85
cifar10,42,1,0.4025
cifar10,42,2,0.4125
cifar10,42,3,0.425
cifar10,42,4,0.4125
cifar10,123,1,0.395
cifar10,123,2,0.4325
cifar10,123,3,0.43
cifar10,123,4,0.4275
cifar10,456,1,0.4325
cifar10,456,2,0.41
cifar10,456,3,0.4325
cifar10,456,4,0.425
